Parameter,Gradient
0,13768.408203125
1,35155.37890625
2,8807.9599609375
3,7400.10498046875
4,16407.05859375
5,39952.03515625
6,9253.9736328125
7,21410.486328125
8,5700.99267578125
9,3172.668701171875
10,11821.484375
11,25533.361328125
12,5674.05322265625
13,15200.126953125
14,4085.489501953125
15,4600.3701171875
16,4290.3935546875
17,8778.015625
18,4195.583984375
19,15107.2490234375
20,4034.316162109375
21,4545.658203125
22,3775.057373046875
23,6262.65966796875
24,5248.89501953125
25,6440.052734375
26,5011.15966796875
27,21465.482421875
28,16086.09765625
29,5011.15966796875
30,1593.9486083984375
31,3854.26220703125
32,4913.408203125
33,2412.9326171875
34,7463.73681640625
35,5082.71484375
36,876.2484741210938
37,2471.3349609375
38,2523.554931640625
39,1156.9154052734375
40,4754.25927734375
41,4996.68310546875
42,881.0488891601562
43,1826.8671875
44,1575.6759033203125
45,1267.3682861328125
46,8152.59619140625
47,4932.42626953125
48,4145.2109375
49,2453.985107421875
50,4358.3994140625
51,2475.72314453125
52,5038.357421875
53,2979.160400390625
54,8614.904296875
55,11033.9169921875
56,2979.160400390625
57,194.1690216064453
58,287.50457763671875
59,319.566162109375
60,311.51373291015625
61,2503.318603515625
62,2506.52001953125
63,154.88414001464844
64,373.28179931640625
65,324.2494812011719
66,312.77801513671875
67,1492.3284912109375
68,2333.507080078125
69,129.95184326171875
70,232.2665252685547
71,200.50315856933594
72,243.04510498046875
73,1228.0147705078125
74,2339.36767578125
75,101.2529296875
76,228.22793579101562
77,131.14547729492188
78,217.2441864013672
79,1227.059326171875
80,2323.92138671875
81,236.86636352539062
82,285.33343505859375
83,190.08328247070312
84,429.5450439453125
85,1605.7783203125
86,2332.833984375
87,1704.2705078125
88,2800.725341796875
89,4461.08935546875
90,1283.167236328125
91,632.7733154296875
92,1712.259765625
93,1503.70556640625
94,587.882080078125
95,1712.259765625
96,582.6639404296875
97,1297.4903564453125
98,1901.6875
99,679.3407592773438
100,641.79541015625
101,1552.0633544921875
102,1242.2335205078125
103,3695.916015625
104,6407.4619140625
105,1015.781494140625
106,643.6675415039062
107,1472.507568359375
108,2200.748046875
109,187.5163116455078
110,2387.984130859375
111,2.330315055587562e-06
112,1979.9222412109375
113,2792.717041015625
114,5696.5576171875
115,4.29858555435203e-05
116,4068.48779296875
117,4653.529296875
118,8715.875
119,9.074413537746295e-05
120,16284.6298828125
121,7285.2734375
122,29461.296875
123,0.00036390009336173534
124,28931.0703125
125,10566.474609375
126,47916.69140625
127,0.00026241777231916785
128,30898.662109375
129,10366.4765625
130,47731.0625
131,0.0017043635016307235
132,25819.47265625
133,13619.3603515625
134,37898.98828125
135,0.0016500031342729926
136,35195.953125
137,24813.26953125
138,87012.6875
139,0.005455054342746735
140,44373.9921875
141,74554.265625

